,company,model,year,selling_price,km_driven,fuel,transmission,owner,mileage,engine,seats
0,Maruti,Maruti Swift Dzire VDI,2014,450000,145500,Diesel,Manual,First,23,1248,5
1,Skoda,Skoda Rapid 1.5 TDI Ambition,2014,370000,120000,Diesel,Manual,Second,21,1498,5
2,Honda,Honda City 2017-2020 EXi,2006,158000,140000,Petrol,Manual,Third,17,1497,5
3,Hyundai,Hyundai i20 Sportz Diesel,2010,225000,127000,Diesel,Manual,First,23,1396,5
4,Maruti,Maruti Swift VXI BSIII,2007,130000,120000,Petrol,Manual,First,16,1298,5
5,Hyundai,Hyundai Xcent 1.2 VTVT E Plus,2017,440000,45000,Petrol,Manual,First,20,1197,5
6,Maruti,Maruti Wagon R LXI DUO BSIII,2007,96000,175000,LPG,Manual,First,17,1061,5
7,Maruti,Maruti 800 DX BSII,2001,45000,5000,Petrol,Manual,Second,16,796,4
8,Toyota,Toyota Etios VXD,2011,350000,90000,Diesel,Manual,First,23,1364,5
9,Ford,Ford Figo Diesel Celebration Edition,2013,200000,169000,Diesel,Manual,First,20,1399,5
10,Renault,Renault Duster 110PS Diesel RxL,2014,500000,68000,Diesel,Manual,Second,19,1461,5
11,Maruti,Maruti Zen LX,2005,92000,100000,Petrol,Manual,Second,17,993,5
12,Maruti,Maruti Swift Dzire VDi,2009,280000,140000,Diesel,Manual,Second,19,1248,5
13,Maruti,Maruti Wagon R LXI Minor,2009,180000,90000,Petrol,Manual,Second,18,1061,5
14,Mahindra,Mahindra KUV 100 mFALCON G80 K8 5str,2016,400000,40000,Petrol,Manual,First,18,1198,5
15,Maruti,Maruti Ertiga SHVS VDI,2016,778000,70000,Diesel,Manual,Second,24,1248,7
16,Hyundai,Hyundai i20 1.4 CRDi Asta,2012,500000,53000,Diesel,Manual,Second,23,1396,5
17,Maruti,Maruti Alto LX,2002,150000,80000,Petrol,Manual,Second,19,796,5
18,Hyundai,Hyundai i20 2015-2017 Asta 1.4 CRDi,2016,680000,100000,Diesel,Manual,First,22,1396,5
19,Mahindra,Mahindra Verito 1.5 D4 BSIII,2011,174000,100000,Diesel,Manual,Second,21,1461,5
20,Honda,Honda WR-V i-DTEC VX,2017,950000,50000,Diesel,Manual,First,25,1498,5
21,Maruti,Maruti Swift Dzire ZDI,2015,525000,40000,Diesel,Manual,First,26,1248,5
22,Maruti,Maruti SX4 ZDI,2012,600000,72000,Diesel,Manual,First,21,1248,5
23,Tata,Tata Tigor 2017-2020 XZ,2018,500000,35000,Petrol,Manual,First,20,1199,5
24,Maruti,Maruti Baleno Delta 1.2,2016,575000,45000,Petrol,Manual,First,21,1197,5
25,Maruti,Maruti Alto 800 LXI,2017,275000,28000,Petrol,Manual,First,24,796,5
26,Chevrolet,Chevrolet Enjoy TCDi LTZ 7 Seater,2013,300000,70000,Diesel,Manual,First,18,1248,7
27,Maruti,Maruti Wagon R LXI Minor,2009,220000,120000,Petrol,Manual,First,18,1061,5
28,Maruti,Maruti Omni E MPI STD BS IV,2018,254999,25000,Petrol,Manual,First,16,796,8
29,Maruti,Maruti Vitara Brezza LDi Option,2017,670000,70000,Diesel,Manual,First,24,1248,5
30,Maruti,Maruti Omni 8 Seater BSIV,2012,150000,35000,Petrol,Manual,Second,14,796,5
31,Hyundai,Hyundai i20 1.2 Asta Dual Tone,2018,730000,2388,Petrol,Manual,First,18,1197,5
32,Maruti,Maruti Vitara Brezza LDi,2017,650000,16200,Diesel,Manual,First,24,1248,5
33,Maruti,Maruti Alto 800 CNG LXI Optional,2019,330000,10000,CNG,Manual,Second,33,796,4
34,Maruti,Maruti Alto K10 VXI Airbag,2019,366000,15000,Petrol,Manual,First,23,998,5
35,Hyundai,Hyundai Verna VTVT 1.6 SX Option,2019,1149000,5000,Petrol,Manual,First,17,1591,5
36,Datsun,Datsun GO D,2016,150000,42000,Petrol,Manual,First,20,1198,5
37,Tata,Tata Safari DICOR 2.2 LX 4x2,2011,425000,60000,Diesel,Manual,Second,13,2179,7
38,Maruti,Maruti 800 Std,2012,150000,76000,Petrol,Manual,First,16,796,4
39,Jeep,Jeep Compass 1.4 Limited Plus BSIV,2019,2100000,5000,Petrol,Automatic,First,16,1368,5
40,Honda,Honda City i VTEC VX,2018,925000,28900,Petrol,Manual,First,17,1497,5
41,Honda,Honda City V MT,2013,425000,86300,Petrol,Manual,First,16,1497,5
42,Maruti,Maruti Swift Dzire VXi AT,2018,675000,23300,Petrol,Automatic,First,18,1197,5
43,Maruti,Maruti Vitara Brezza VDi,2018,819999,32600,Diesel,Manual,First,24,1248,5
